genres_list,median_roi,mean_roi,count,median_gross,median_budget
Animation,175.32,243.9,113,262794441.0,80000000.0
Sci-Fi,142.91,213.09,160,125306557.5,40000000.0
Adventure,141.61,192.36,386,205701104.0,90000000.0
Mystery,138.49,815.97,147,33667319.0,10000000.0
Comedy,107.16,201.18,617,46438538.0,20000000.0
Romance,105.41,258.52,243,24474463.0,13400000.0
Fantasy,102.94,181.61,145,85287417.0,50000000.0
Action,96.14,155.58,494,104525243.5,50000000.0
Biography,75.34,204.88,157,25350747.0,18000000.0
Family,72.5,117.89,107,57824533.0,35000000.0
Music,63.92,222.86,62,16549721.5,12000000.0
Thriller,59.63,453.84,318,34211547.0,13500000.0
Horror,41.31,675.09,235,16638300.0,5000000.0
Drama,39.37,183.6,914,18410911.0,13000000.0
Crime,26.22,87.57,272,26632927.5,21000000.0
Sport,3.83,219.31,36,18135684.0,15500000.0
History,2.06,100.34,55,23726626.0,20000000.0
Western,-27.57,43.63,14,8332261.5,30000000.0
War,-39.11,29.83,22,3730964.5,14000000.0
Documentary,-50.07,118.91,89,1109276.0,2000000.0
Musical,-90.12,59.54,12,368552.0,6950000.0
